target_month,region,channel_name,budget_owner,target_spend,actual_spend,spend_attainment,target_revenue,actual_revenue,revenue_variance,revenue_attainment,target_leads,actual_leads,lead_attainment,target_conversions,actual_platform_conversions,conversion_attainment
2025-01-01,APAC,Organic Search,growth,410268.20,0.00,0.0,478792.35,0.0,-478792.35,0.0,8361,41,0.004903719650759478,2027,0,0.0
2025-01-01,APAC,Organic Search,regional_marketing,59704.01,0.00,0.0,164369.01,0.0,-164369.01,0.0,14516,41,0.002824469550840452,2456,0,0.0
2025-01-01,APAC,Paid Search,finance,110208.87,494747.63,4.4891815876526096,293524.31,40307.695,-253216.615,0.13732319139085958,7501,87,0.011598453539528063,983,6985,7.105798575788403
2025-01-01,APAC,Paid Search,finance,273077.15,494747.63,1.8117503789679947,876915.34,40307.695,-836607.645,0.04596532089403294,12283,87,0.007082960188878939,2053,6985,3.402338041889917
2025-01-01,APAC,Paid Search,finance,165217.60,494747.63,2.9945213463940887,834284.56,40307.695,-793976.8650000001,0.04831408482496667,14566,87,0.005972813401070988,2222,6985,3.1435643564356437
2025-01-01,APAC,Paid Search,growth,187167.64,494747.63,2.643339575153055,1193765.06,40307.695,-1153457.365,0.033765182405321864,11103,87,0.007835720075655228,32,6985,218.28125
2025-01-01,APAC,Paid Search,regional_marketing,209870.92,494747.63,2.3573901043555723,94782.98,40307.695,-54475.284999999996,0.4252630060797835,12841,87,0.006775173273109571,263,6985,26.55893536121673
2025-01-01,APAC,Paid Search,regional_marketing,29174.18,494747.63,16.958407399968053,125743.03,40307.695,-85435.33499999999,0.3205560976222698,7887,87,0.01103081019399011,1188,6985,5.87962962962963
2025-01-01,APAC,Paid Social,finance,107040.14,2660626.09,24.856339780572036,1034116.40,44427.55499999999,-989688.845,0.04296185129643045,5898,86,0.014581213970837573,834,36745,44.05875299760192
2025-01-01,APAC,Paid Social,finance,281168.44,2660626.09,9.462747988358863,824911.76,44427.55499999999,-780484.2050000001,0.053857342268947644,9774,86,0.008798854102721507,31,36745,1185.3225806451612
2025-01-01,APAC,Paid Social,finance,35503.51,2660626.09,74.9398042616068,107713.28,44427.55499999999,-63285.725000000006,0.412461258258963,13094,86,0.006567893691767222,518,36745,70.93629343629344
2025-01-01,APAC,Paid Social,finance,197750.76,2660626.09,13.45444179329576,584251.73,44427.55499999999,-539824.175,0.07604180307690316,12118,86,0.007096880673378445,2254,36745,16.30212954747116
2025-01-01,APAC,Paid Social,growth,179112.16,2660626.09,14.85452517573346,460078.32,44427.55499999999,-415650.765,0.09656520002942107,3192,86,0.02694235588972431,348,36745,105.58908045977012
2025-01-01,APAC,Paid Social,regional_marketing,418304.53,2660626.09,6.360500303451172,448490.18,44427.55499999999,-404062.625,0.09906026259036484,9471,86,0.009080350543765178,1385,36745,26.530685920577618
2025-01-01,EMEA,Direct,finance,223486.15,0.00,0.0,691808.84,0.0,-691808.84,0.0,3947,33,0.008360780339498353,1129,0,0.0
2025-01-01,EMEA,Direct,finance,350811.67,0.00,0.0,876386.68,0.0,-876386.68,0.0,3052,33,0.010812581913499346,279,0,0.0
2025-01-01,EMEA,Direct,finance,387479.99,0.00,0.0,1146838.51,0.0,-1146838.51,0.0,14977,33,0.002203378513721039,1552,0,0.0
2025-01-01,EMEA,Direct,growth,381169.24,0.00,0.0,1180620.02,0.0,-1180620.02,0.0,3685,33,0.008955223880597015,1616,0,0.0
2025-01-01,EMEA,Direct,regional_marketing,220635.53,0.00,0.0,795098.87,0.0,-795098.87,0.0,7566,33,0.0043616177636796195,1652,0,0.0
2025-01-01,EMEA,Direct,regional_marketing,322941.32,0.00,0.0,925213.30,0.0,-925213.3,0.0,13595,33,0.0024273630011033467,787,0,0.0
2025-01-01,EMEA,Email,finance,302635.79,0.00,0.0,537008.75,0.0,-537008.75,0.0,2773,35,0.012621709340064912,2114,0,0.0
2025-01-01,EMEA,Email,growth,162842.59,0.00,0.0,454746.24,0.0,-454746.24,0.0,12651,35,0.0027665797170184176,2350,0,0.0
2025-01-01,EMEA,Email,growth,394816.57,0.00,0.0,291094.99,0.0,-291094.99,0.0,1020,35,0.03431372549019608,2046,0,0.0
2025-01-01,EMEA,Email,growth,224777.65,0.00,0.0,142425.22,0.0,-142425.22,0.0,9098,35,0.0038469993405143986,1747,0,0.0
2025-01-01,EMEA,Email,regional_marketing,142815.13,0.00,0.0,717432.87,0.0,-717432.87,0.0,14922,35,0.002345530089800295,1728,0,0.0
2025-01-01,EMEA,Email,regional_marketing,25448.88,0.00,0.0,421854.68,0.0,-421854.68,0.0,1759,35,0.019897669130187607,1328,0,0.0
2025-01-01,EMEA,Organic Search,finance,322958.53,0.00,0.0,137702.96,0.0,-137702.96,0.0,6680,30,0.004491017964071856,1289,0,0.0
2025-01-01,EMEA,Organic Search,finance,276040.68,0.00,0.0,913384.47,0.0,-913384.47,0.0,9992,30,0.00300240192153723,865,0,0.0
2025-01-01,EMEA,Organic Search,finance,247293.90,0.00,0.0,199860.15,0.0,-199860.15,0.0,6876,30,0.004363001745200698,564,0,0.0
2025-01-01,EMEA,Organic Search,growth,402501.89,0.00,0.0,1088183.63,0.0,-1088183.63,0.0,7930,30,0.0037831021437578815,2457,0,0.0
2025-01-01,EMEA,Organic Search,growth,401707.64,0.00,0.0,522761.22,0.0,-522761.22,0.0,12152,30,0.002468729427254773,1424,0,0.0
2025-01-01,EMEA,Organic Search,regional_marketing,347458.62,0.00,0.0,75028.74,0.0,-75028.74,0.0,1335,30,0.02247191011235955,1364,0,0.0
2025-01-01,EMEA,Paid Search,finance,191201.57,886546.17,4.636709677645429,676802.21,42446.719999999994,-634355.49,0.06271658007736115,6941,84,0.01210200259328627,1643,13315,8.104077906269021
2025-01-01,EMEA,Paid Search,growth,241743.13,886546.17,3.6673065745446416,383828.31,42446.719999999994,-341381.59,0.11058777816571162,8598,84,0.009769713886950453,511,13315,26.05675146771037
2025-01-01,EMEA,Paid Search,growth,288110.92,886546.17,3.0771002015473767,509736.35,42446.719999999994,-467289.63,0.08327191105754965,12722,84,0.006602735418959283,1917,13315,6.945748565466875
2025-01-01,EMEA,Paid Search,regional_marketing,105592.78,886546.17,8.395897617242392,941806.38,42446.719999999994,-899359.66,0.045069475957468026,8902,84,0.00943608177937542,1676,13315,7.944510739856802
2025-01-01,EMEA,Paid Search,regional_marketing,372507.87,886546.17,2.3799394359104413,243431.07,42446.719999999994,-200984.35,0.17436853890507892,9111,84,0.009219624629568653,2283,13315,5.832238282961016
2025-01-01,EMEA,Paid Search,regional_marketing,377666.24,886546.17,2.347432934434383,402506.71,42446.719999999994,-360059.99000000005,0.10545593140546648,11419,84,0.0073561607846571505,660,13315,20.174242424242426
2025-01-01,EMEA,Paid Social,finance,198321.36,2342126.11,11.809752161844797,852674.21,40685.76,-811988.45,0.04771548092207457,975,97,0.09948717948717949,1416,29976,21.16949152542373
2025-01-01,EMEA,Paid Social,finance,401430.85,2342126.11,5.834444736870622,338603.62,40685.76,-297917.86,0.12015748679828055,6184,97,0.015685640362225098,1380,29976,21.721739130434784
2025-01-01,EMEA,Paid Social,regional_marketing,353861.16,2342126.11,6.618771356539949,1198477.77,40685.76,-1157792.01,0.03394786371381757,14996,97,0.006468391571085623,1880,29976,15.94468085106383
2025-01-01,EMEA,Paid Social,regional_marketing,113374.28,2342126.11,20.658354875550256,230660.13,40685.76,-189974.37,0.17638835112075937,352,97,0.2755681818181818,1530,29976,19.5921568627451
2025-01-01,EMEA,Paid Social,regional_marketing,413342.01,2342126.11,5.66631519017387,1049291.43,40685.76,-1008605.6699999999,0.038774509003661646,12636,97,0.007676479898702121,1376,29976,21.78488372093023
2025-01-01,EMEA,Paid Social,regional_marketing,364850.27,2342126.11,6.419417231073996,1183911.72,40685.76,-1143225.96,0.034365535295148526,12837,97,0.007556282620549973,1764,29976,16.993197278911566
2025-01-01,LATAM,Direct,finance,86930.87,0.00,0.0,885268.44,0.0,-885268.44,0.0,6014,24,0.0039906883937479215,615,0,0.0
2025-01-01,LATAM,Direct,finance,332199.20,0.00,0.0,790327.16,0.0,-790327.16,0.0,12032,24,0.0019946808510638296,2057,0,0.0
2025-01-01,LATAM,Direct,finance,132408.99,0.00,0.0,323202.38,0.0,-323202.38,0.0,12015,24,0.0019975031210986267,987,0,0.0
2025-01-01,LATAM,Direct,growth,116373.72,0.00,0.0,746039.67,0.0,-746039.67,0.0,4523,24,0.005306212690692019,2218,0,0.0
2025-01-01,LATAM,Direct,growth,166051.05,0.00,0.0,873485.53,0.0,-873485.53,0.0,10659,24,0.002251618350689558,2371,0,0.0
2025-01-01,LATAM,Direct,growth,333918.69,0.00,0.0,982801.54,0.0,-982801.54,0.0,14479,24,0.0016575730368119344,2329,0,0.0
2025-01-01,LATAM,Email,finance,143060.22,0.00,0.0,906792.99,0.0,-906792.99,0.0,6178,46,0.007445775331822596,1881,0,0.0
2025-01-01,LATAM,Email,finance,36662.25,0.00,0.0,439670.32,0.0,-439670.32,0.0,9042,46,0.0050873700508737,1939,0,0.0
2025-01-01,LATAM,Email,growth,264672.30,0.00,0.0,601923.11,0.0,-601923.11,0.0,13857,46,0.0033196218517716676,1696,0,0.0
2025-01-01,LATAM,Email,growth,369753.22,0.00,0.0,1061108.63,0.0,-1061108.63,0.0,6005,46,0.007660283097418817,2122,0,0.0
2025-01-01,LATAM,Email,regional_marketing,346907.36,0.00,0.0,300278.61,0.0,-300278.61,0.0,7837,46,0.0058695929564884525,2207,0,0.0
2025-01-01,LATAM,Email,regional_marketing,59191.13,0.00,0.0,1064406.98,0.0,-1064406.98,0.0,7090,46,0.006488011283497884,233,0,0.0
2025-01-01,LATAM,Organic Search,finance,319367.91,0.00,0.0,1151526.66,0.0,-1151526.66,0.0,9737,38,0.003902639416658108,599,0,0.0
2025-01-01,LATAM,Organic Search,finance,294099.60,0.00,0.0,626609.12,0.0,-626609.12,0.0,1753,38,0.02167712492869367,1388,0,0.0
2025-01-01,LATAM,Organic Search,finance,56787.25,0.00,0.0,1194734.47,0.0,-1194734.47,0.0,9137,38,0.004158914304476305,530,0,0.0
2025-01-01,LATAM,Organic Search,finance,393282.27,0.00,0.0,134404.57,0.0,-134404.57,0.0,2568,38,0.014797507788161994,2423,0,0.0
2025-01-01,LATAM,Organic Search,growth,83866.32,0.00,0.0,1167877.79,0.0,-1167877.79,0.0,3243,38,0.01171754548257786,278,0,0.0
2025-01-01,LATAM,Organic Search,regional_marketing,92393.93,0.00,0.0,501473.61,0.0,-501473.61,0.0,13640,38,0.0027859237536656894,1144,0,0.0
2025-01-01,LATAM,Paid Search,finance,177667.71,424602.38,2.3898680294804273,600642.00,16199.045,-584442.955,0.026969550913855507,14288,82,0.0057390817469204925,804,5922,7.365671641791045
2025-01-01,LATAM,Paid Search,finance,224974.95,424602.38,1.887331811830606,949660.11,16199.045,-933461.065,0.017057729212191508,12120,82,0.006765676567656765,1585,5922,3.7362776025236593
2025-01-01,LATAM,Paid Search,growth,98968.66,424602.38,4.290271081774776,504044.11,16199.045,-487845.065,0.032138149575837716,7481,82,0.010961101457024463,462,5922,12.818181818181818
2025-01-01,LATAM,Paid Search,growth,322945.97,424602.38,1.314778382278621,888604.63,16199.045,-872405.585,0.018229755341247773,1749,82,0.046883933676386505,1108,5922,5.344765342960288
2025-01-01,LATAM,Paid Search,regional_marketing,88077.93,424602.38,4.820757935614518,406941.12,16199.045,-390742.075,0.03980685215590894,2379,82,0.034468263976460696,1303,5922,4.54489639293937
2025-01-01,LATAM,Paid Search,regional_marketing,395593.25,424602.38,1.0733307001572954,111005.11,16199.045,-94806.065,0.14593062427486447,4564,82,0.01796669588080631,322,5922,18.391304347826086
2025-01-01,LATAM,Paid Social,finance,137142.61,1669266.51,12.171756903270254,95168.78,56078.005,-39090.775,0.5892479130235777,14634,95,0.006491731583982506,2083,22021,10.57177148343735
2025-01-01,LATAM,Paid Social,finance,96614.34,1669266.51,17.277626799499952,174504.17,56078.005,-118426.16500000001,0.3213562461000215,10401,95,0.009133737140659551,481,22021,45.78170478170478
2025-01-01,LATAM,Paid Social,growth,322352.01,1669266.51,5.178396467886147,840018.35,56078.005,-783940.345,0.0667580714159399,12095,95,0.007854485324514262,211,22021,104.36492890995261
2025-01-01,LATAM,Paid Social,growth,71256.92,1669266.51,23.426026693267126,314224.00,56078.005,-258145.995,0.17846505995722795,10044,95,0.009458383114297093,2268,22021,9.709435626102293
2025-01-01,LATAM,Paid Social,growth,314369.81,1669266.51,5.30988172814686,395462.06,56078.005,-339384.055,0.14180375482795998,9519,95,0.00998003992015968,1471,22021,14.970088375254928
2025-01-01,LATAM,Paid Social,growth,264741.10,1669266.51,6.305279044319149,462301.14,56078.005,-406223.135,0.12130189642188638,7767,95,0.012231234710956612,372,22021,59.196236559139784
2025-01-01,,Direct,finance,225261.15,0.00,0.0,863016.15,0.0,-863016.15,0.0,9297,0,0.0,2324,0,0.0
2025-01-01,,Direct,finance,395528.02,0.00,0.0,192708.87,0.0,-192708.87,0.0,2333,0,0.0,2088,0,0.0
2025-01-01,,Direct,finance,60129.88,0.00,0.0,801590.60,0.0,-801590.6,0.0,8729,0,0.0,1586,0,0.0
2025-01-01,,Direct,growth,409004.71,0.00,0.0,260782.33,0.0,-260782.33,0.0,8956,0,0.0,1171,0,0.0
2025-01-01,,Direct,growth,406383.98,0.00,0.0,1025988.81,0.0,-1025988.81,0.0,1053,0,0.0,944,0,0.0
2025-01-01,,Direct,regional_marketing,238420.67,0.00,0.0,204131.51,0.0,-204131.51,0.0,6533,0,0.0,959,0,0.0
2025-01-01,,Email,finance,70193.18,0.00,0.0,276324.05,0.0,-276324.05,0.0,3524,0,0.0,632,0,0.0
2025-01-01,,Email,finance,377419.97,0.00,0.0,676477.09,0.0,-676477.09,0.0,4657,0,0.0,1305,0,0.0
2025-01-01,,Email,finance,119143.23,0.00,0.0,831993.11,0.0,-831993.11,0.0,3643,0,0.0,2264,0,0.0
2025-01-01,,Email,growth,149338.67,0.00,0.0,715864.78,0.0,-715864.78,0.0,6294,0,0.0,850,0,0.0
2025-01-01,,Email,regional_marketing,54191.70,0.00,0.0,327551.56,0.0,-327551.56,0.0,5879,0,0.0,1656,0,0.0
2025-01-01,,Email,regional_marketing,177628.87,0.00,0.0,830238.96,0.0,-830238.96,0.0,10169,0,0.0,463,0,0.0
2025-01-01,,Organic Search,finance,140286.77,0.00,0.0,492012.77,0.0,-492012.77,0.0,5743,0,0.0,1792,0,0.0
2025-01-01,,Organic Search,finance,95300.81,0.00,0.0,588504.77,0.0,-588504.77,0.0,9357,0,0.0,723,0,0.0
2025-01-01,,Organic Search,finance,99642.40,0.00,0.0,121703.73,0.0,-121703.73,0.0,381,0,0.0,64,0,0.0
2025-01-01,,Organic Search,growth,346256.28,0.00,0.0,950842.28,0.0,-950842.28,0.0,7983,0,0.0,1501,0,0.0
2025-01-01,,Organic Search,regional_marketing,230926.13,0.00,0.0,567775.43,0.0,-567775.43,0.0,11098,0,0.0,2433,0,0.0
2025-01-01,,Organic Search,regional_marketing,144299.04,0.00,0.0,292487.77,0.0,-292487.77,0.0,3280,0,0.0,426,0,0.0
2025-01-01,,Paid Search,finance,25058.50,0.00,0.0,881676.19,0.0,-881676.19,0.0,5560,0,0.0,1945,0,0.0
2025-01-01,,Paid Search,finance,66265.37,0.00,0.0,432782.19,0.0,-432782.19,0.0,10435,0,0.0,924,0,0.0
2025-01-01,,Paid Search,growth,396077.43,0.00,0.0,775241.32,0.0,-775241.32,0.0,5901,0,0.0,40,0,0.0
2025-01-01,,Paid Search,growth,29892.01,0.00,0.0,525720.04,0.0,-525720.04,0.0,10499,0,0.0,770,0,0.0
2025-01-01,,Paid Search,regional_marketing,137700.43,0.00,0.0,344709.66,0.0,-344709.66,0.0,3881,0,0.0,1706,0,0.0
2025-01-01,,Paid Search,regional_marketing,104763.55,0.00,0.0,97423.63,0.0,-97423.63,0.0,8489,0,0.0,2445,0,0.0
2025-01-01,,Paid Social,finance,241943.46,0.00,0.0,780384.21,0.0,-780384.21,0.0,13776,0,0.0,945,0,0.0
2025-01-01,,Paid Social,growth,217636.53,0.00,0.0,499927.93,0.0,-499927.93,0.0,2348,0,0.0,2313,0,0.0
2025-01-01,,Paid Social,regional_marketing,299895.81,0.00,0.0,552747.01,0.0,-552747.01,0.0,14508,0,0.0,1951,0,0.0
2025-01-01,,Paid Social,regional_marketing,29241.65,0.00,0.0,1175060.71,0.0,-1175060.71,0.0,6934,0,0.0,1953,0,0.0
2025-01-01,,Paid Social,regional_marketing,184103.09,0.00,0.0,616128.75,0.0,-616128.75,0.0,7795,0,0.0,1176,0,0.0
2025-01-01,,Paid Social,regional_marketing,88114.45,0.00,0.0,544536.02,0.0,-544536.02,0.0,6336,0,0.0,2490,0,0.0
