campaign_id,campaign_name,normalized_channel,spend,impressions,clicks,conversions
CMP-000003,CART RECOVERY NA 2025 SOCIAL,paid_social,11790.8,60459,3860,12
CMP-000083,competitor_search_apac_2024_social,paid_social,11716.52,140620,4552,58
CMP-000075,Competitor Search NA 2024 Social,paid_social,11663.43,125183,7972,248
CMP-000020,Creator Spark US 2025 Social,paid_social,11541.1,90978,7544,190
CMP-000048,Retargeting US FY25 Social,paid_social,11523.73,145811,5564,22
CMP-000002,Product Launch US Q4 Social,paid_social,11388.06,94544,6735,137
CMP-000059,Retargeting APAC FY25 Social,paid_social,11341.0,145428,4064,3
CMP-000023,regional_expansion_global_q4_social,paid_social,11336.2,120592,5658,33
CMP-000007,Brand Search NA 2025 Social,paid_social,11289.13,141624,141634,238
CMP-000037,Regional Expansion APAC 2025 Social,paid_social,11163.71,95694,4753,151
CMP-000026,Brand SEM Global 2024 Social,paid_social,11161.2,119331,2595,60
CMP-000001,Creator Spark Global Q4 Social,paid_social,11152.52,168811,7672,550
CMP-000008,product_launch_apac_fy25_social,paid_social,11142.55,151229,3113,161
CMP-000038,Retargeting APAC 2024 Social,paid_social,11052.93,28953,3162,110
CMP-000020,LIFECYCLE WINBACK US 2025 SOCIAL,paid_social,11033.08,111639,5152,78
CMP-000081,Lifecycle Winback NA 2024 Social,paid_social,11028.6,120357,6066,78
CMP-000069,Lifecycle Winback US FY25 Social,paid_social,11019.37,52817,2919,54
CMP-000013,product_launch_apac_2024_social,paid_social,10987.31,139025,3172,163
CMP-000009,Regional Expansion US FY25 Social,paid_social,10980.91,79192,4278,114
CMP-000042,Creator Spark EMEA FY25 Social,paid_social,10943.78,115044,8429,671
CMP-000018,Creator Spark US 2024 Social,paid_social,10743.78,197364,4908,68
CMP-000047,Competitor SEM US FY25 Social,paid_social,10701.74,80911,2787,24
CMP-000048,competitor_search_emea_fy25_social,paid_social,10658.93,65876,2736,15
CMP-000064,Regional Expansion EMEA 2025 Social,paid_social,10624.24,200732,3107,79
CMP-000037,RETARGETING US 2025 SOCIAL,paid_social,10565.81,150174,6533,126
CMP-000007,CREATOR SPARK EMEA Q4 SOCIAL,paid_social,10552.34,47068,3237,56
CMP-000061,Holiday Promotion NA 2025 Social,paid_social,10513.99,67071,4961,42
CMP-000039,Retargeting APAC 2025 Social,paid_social,10486.57,84538,3738,37
CMP-000079,RETARGETING NA 2025 SOCIAL,paid_social,10485.1,139441,5462,12
CMP-000018,Competitor Search Global FY25 Social,paid_social,10461.99,66075,3136,4
CMP-000075,Competitor Search EMEA 2025 Social,paid_social,10444.31,85495,5804,19
CMP-000011,ENTERPRISE ABM APAC FY25 SOCIAL,paid_social,10428.43,57423,2648,29
CMP-000036,Holiday Promo NA 2024 Social,paid_social,10408.92,129800,4329,89
CMP-000062,Cart Recovery Global 2025 Social,paid_social,10356.31,103097,8063,367
CMP-000035,product_launch_global_2025_social,paid_social,10321.85,131562,3810,19
CMP-000070,LIFECYCLE WINBACK EMEA 2025 SOCIAL,paid_social,10320.81,114864,1784,92
CMP-000040,brand_search_emea_2024,paid_search,10314.15,17302,1964,25
CMP-000018,Cart Recovery US 2024,paid_search,10234.85,16983,1010,75
CMP-000035,Holiday Promo Global FY25,paid_search,10199.28,11888,1553,50
CMP-000057,cart_recovery_us_2025_social,paid_social,10193.28,90154,8013,382
CMP-000049,competitor_search_global_2024_social,paid_social,10162.89,35538,2432,46
CMP-000029,RETARGETING NA FY25 SOCIAL,paid_social,10154.88,117181,7108,49
CMP-000051,holiday_promo_us_fy25_social,paid_social,10148.62,122594,4030,85
CMP-000073,Regional Expansion Global FY25 Social,paid_social,10093.61,102369,6157,227
CMP-000004,CREATOR SPARK APAC 2024 SOCIAL,paid_social,10069.85,84485,2190,21
CMP-000030,Lifecycle Winback APAC 2024 Social,paid_social,10052.13,194775,6335,369
CMP-000074,REGIONAL EXPANSION EMEA Q4 SOCIAL,paid_social,10036.83,84526,6320,5
CMP-000030,competitor_search_global_fy25_social,paid_social,10024.36,89910,4120,328
CMP-000048,Creator Spark NA 2025 Social,paid_social,9991.8,46560,3541,52
CMP-000020,COMPETITOR SEARCH NA Q4 SOCIAL,paid_social,9965.93,146515,7471,56
CMP-000045,Cart Recovery US 2024 Social,paid_social,9908.29,98766,1939,91
CMP-000005,Competitor Search APAC 2024 Social,paid_social,9899.94,80167,6199,164
CMP-000057,product_launch_apac_fy25_social,paid_social,9879.08,86109,2130,33
CMP-000024,Product Launch Global 2025 Social,paid_social,9863.71,75246,1973,23
CMP-000012,Product Launch NA Q4 Social,paid_social,9857.47,104139,5165,13
CMP-000065,Holiday Promotion EMEA 2024,paid_search,9819.94,16695,1615,8
CMP-000064,Cart Recovery APAC Q4 Social,paid_social,9786.33,54637,2924,32
CMP-000039,lifecycle_winback_emea_2025_social,paid_social,9767.99,108771,5997,130
CMP-000047,Cart Recovery EMEA 2024 Social,paid_social,9764.49,80274,4038,174
CMP-000071,Lifecycle Winback APAC Q4 Social,paid_social,9761.93,146785,9308,70
CMP-000033,CART RECOVERY GLOBAL Q4 SOCIAL,paid_social,9713.66,149257,3690,33
CMP-000062,Regional Expansion EMEA FY25 Social,paid_social,9682.84,69230,4445,27
CMP-000041,Creator Spark APAC FY25 Social,paid_social,9644.88,97174,3125,304
CMP-000047,Brand Search EMEA 2024 Social,paid_social,9601.07,180575,9904,170
CMP-000025,Product Launch EMEA 2024 Social,paid_social,9592.39,153989,4164,63
CMP-000056,ENTERPRISE ABM NA 2024 SOCIAL,paid_social,9569.21,81326,2451,17
CMP-000030,Lifecycle Winback US 2025 Social,paid_social,9566.9,50517,4508,175
CMP-000064,Retargeting NA 2024 Social,paid_social,9528.85,81547,3976,36
CMP-000059,Retargeting US 2025 Social,paid_social,9519.86,54645,2026,97
CMP-000076,Brand Search Global 2024,paid_search,9512.26,33436,3166,330
CMP-000066,Product Launch EMEA 2024 Social,paid_social,9465.84,143820,4543,138
CMP-000017,Lifecycle Winback NA FY25 Social,paid_social,9450.78,114050,3546,44
CMP-000001,HOLIDAY PROMO EMEA 2024,paid_search,9411.76,16762,1526,65
CMP-000070,Enterprise ABM APAC FY25,paid_search,9354.96,16650,1400,103
CMP-000023,Lifecycle Winback US 2024 Social,paid_social,9339.97,96543,3203,42
CMP-000019,lifecycle_winback_global_2025_social,paid_social,9323.35,74012,4544,95
CMP-000018,Lifecycle Winback Global 2024,paid_search,9260.24,14947,2218,38
CMP-000081,creator_spark_apac_fy25_social,paid_social,9203.36,148340,5097,239
CMP-000003,cart_recovery_emea_fy25_social,paid_social,9189.66,116981,5307,56
CMP-000072,CART RECOVERY NA Q4 SOCIAL,paid_social,9170.75,95394,3392,163
CMP-000040,Enterprise ABM US 2025,paid_search,9150.68,15151,2291,95
CMP-000037,Brand Search EMEA FY25 Social,paid_social,9150.67,97461,5615,422
CMP-000075,Creator Spark Global 2024 Social,paid_social,9124.09,105793,2332,43
CMP-000024,Product Launch US Q4 Social,paid_social,9120.37,59514,4878,80
CMP-000058,Product Launch EMEA Q4 Social,paid_social,9117.74,50668,3666,6
CMP-000007,LIFECYCLE WINBACK US Q4 SOCIAL,paid_social,9050.94,129262,4176,110
CMP-000063,Brand Search EMEA 2025 Social,paid_social,9006.98,59438,3464,44
CMP-000019,CART RECOVERY APAC 2024 SOCIAL,paid_social,8976.91,81112,2305,157
CMP-000045,Regional Expansion US 2025 Social,paid_social,8951.51,229300,11376,352
CMP-000048,Brand SEM EMEA 2025 Social,paid_social,8949.99,129276,7548,40
CMP-000028,Regional Expansion Global 2025,paid_search,8879.9,16849,2965,24
CMP-000030,creator_spark_global_q4_social,paid_social,8843.11,106656,7335,269
CMP-000023,Creator Spark NA 2024 Social,paid_social,8819.36,104229,3270,66
CMP-000066,Lifecycle Winback Global 2024,paid_search,8770.25,17979,2787,131
CMP-000039,Retargeting US FY25 Social,paid_social,8741.56,65854,3192,178
CMP-000019,Creator Spark EMEA 2024 Social,paid_social,8730.79,146051,5287,96
CMP-000056,Creator Spark Global FY25 Social,paid_social,8711.74,101161,6334,59
CMP-000016,Retargeting EMEA 2024 Social,paid_social,8670.17,91981,2339,133
CMP-000067,Regional Expansion APAC FY25 Social,paid_social,8651.7,147416,3310,18
CMP-000009,ENTERPRISE ABM EMEA FY25 SOCIAL,paid_social,8644.48,88890,2739,113
CMP-000074,enterprise_abm_us_q4_social,paid_social,8644.32,132995,4836,142
CMP-000016,RETARGETING GLOBAL 2024 SOCIAL,paid_social,8606.6,192188,7017,101
CMP-000059,Regional Expansion US FY25,paid_search,8570.87,15204,1866,30
CMP-000019,Regional Expansion US 2024 Social,paid_social,8568.84,76617,5857,168
CMP-000051,Cart Recovery Global FY25 Social,paid_social,8560.6,197686,3506,629
CMP-000045,CART RECOVERY US FY25 SOCIAL,paid_social,8541.86,138165,2927,50
CMP-000057,Brand Search US FY25 Social,paid_social,8538.08,132875,10459,207
CMP-000052,LIFECYCLE WINBACK NA 2024 SOCIAL,paid_social,8530.73,194169,2723,73
CMP-000001,Retargeting NA 2024 Social,paid_social,8510.17,173191,2800,122
CMP-000032,Enterprise ABM Global 2025 Social,paid_social,8508.79,45614,3222,53
CMP-000002,BRAND SEARCH NA FY25 SOCIAL,paid_social,8489.73,106453,5706,432
CMP-000044,brand_search_global_fy25_social,paid_social,8480.06,56741,4244,71
CMP-000034,Competitor Search US 2024 Social,paid_social,8460.25,44534,2140,20
CMP-000063,CREATOR SPARK APAC 2025 SOCIAL,paid_social,8440.37,65951,4790,181
CMP-000033,Lifecycle Winback Global 2024 Social,paid_social,8429.23,92666,3806,46
CMP-000039,PRODUCT LAUNCH NA 2025,paid_search,8412.47,16850,1983,25
CMP-000076,lifecycle_winback_us_q4_social,paid_social,8387.08,45424,3299,39
CMP-000074,Retargeting US 2024 Social,paid_social,8385.53,85521,1223,48
CMP-000037,Enterprise ABM US FY25 Social,paid_social,8375.76,126452,3985,6
CMP-000050,BRAND SEARCH US 2025,paid_search,8360.39,14332,1589,60
CMP-000036,Holiday Promo EMEA 2025 Social,paid_social,8349.24,122405,3365,28
CMP-000033,Creator Spark APAC 2024 Social,paid_social,8338.74,67707,2610,48
