reporting_month,channel_key,channel_name,current_spend,prior_spend,spend_absolute_variance,spend_percentage_variance,current_impressions,prior_impressions,current_clicks,prior_clicks,current_ctr,prior_ctr,current_cpc,prior_cpc,current_conversions,prior_conversions,current_revenue,prior_revenue,current_aov,prior_aov,current_cac,prior_cac,cac_absolute_variance,cac_percentage_variance,current_roas,prior_roas,roas_absolute_variance,roas_percentage_variance,primary_driver,secondary_driver,severity,recommended_investigation
2025-02-01,email,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,3.0,4.0,5391.57,13868.77,1797.1899999999998,3467.1925,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-03-01,email,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,2.0,3.0,7947.99,5391.57,3973.995,1797.1899999999998,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-04-01,email,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,7.0,2.0,19380.5,7947.99,2768.6428571428573,3973.995,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,paid_search,Paid Search,3344108.93,,,,22517153.0,,1249055.0,,0.0554712667271923,,2.677311191260593,,5.0,,26291.34,,5258.268,,668821.7860000001,,,,0.0078619867206299,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-02-01,paid_search,,0.0,3344108.93,-3344108.93,-1.0,0.0,22517153.0,0.0,1249055.0,,0.0554712667271923,,2.677311191260593,11.0,5.0,37872.73,26291.34,3442.975454545455,5258.268,0.0,668821.7860000001,-668821.7860000001,-1.0,,0.0078619867206299,,,REVENUE_CHANGE,AVERAGE_ORDER_VALUE,LOW,Monitor the next period and validate source freshness.
2025-03-01,paid_search,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,17.0,11.0,47669.25,37872.73,2804.073529411765,3442.975454545455,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-04-01,paid_search,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,8.0,17.0,31142.85,47669.25,3892.85625,2804.073529411765,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,unknown,,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,direct,,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,paid_social,Paid Social,8093259.91,,,,170803681.0,,5060655.0,,0.0296284890956184,,1.5992514625083116,,20.0,,51190.69,,2559.5345,,404662.9955,,,,0.0063251014509924,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-02-01,paid_social,,0.0,8093259.91,-8093259.91,-1.0,0.0,170803681.0,0.0,5060655.0,,0.0296284890956184,,1.5992514625083116,34.0,20.0,105964.09,51190.69,3116.590882352941,2559.5345,0.0,404662.9955,-404662.9955,-1.0,,0.0063251014509924,,,REVENUE_CHANGE,AVERAGE_ORDER_VALUE,LOW,Monitor the next period and validate source freshness.
2025-03-01,paid_social,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,29.0,34.0,73432.5,105964.09,2532.155172413793,3116.590882352941,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-04-01,paid_social,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,18.0,29.0,49380.35,73432.5,2743.3527777777776,2532.155172413793,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-05-01,paid_social,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,1.0,18.0,2753.68,49380.35,2753.68,2743.3527777777776,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
