event_date,source,medium,campaign_id,campaign,device_category,sessions,page_views,item_views,add_to_carts,checkouts,leads,purchases,purchase_revenue
2025-01-02,google,cpc,CMP-000046,HOLIDAY PROMO NA FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-06,partner,referral,CMP-000016,Creator Spark US 2025,mobile,1,0,0,0,0,0,0,0.0
2025-01-31,google,cpc,CMP-000040, Competitor Search US 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-13,google,cpc,CMP-000074,HOLIDAY PROMO GLOBAL 2024,tablet,0,1,0,0,0,0,0,0.0
2025-01-19,google,cpc,CMP-000033,COMPETITOR SEARCH GLOBAL FY25,mobile,0,1,0,0,0,0,0,0.0
2025-01-02,google,cpc,CMP-000045,brand_search_na_fy25,desktop,0,0,1,0,0,0,0,0.0
2025-01-06,facebook,paid_social,CMP-000010,Holiday Promotion NA FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-04,google,cpc,CMP-000002,Competitor SEM US 2025,mobile,0,0,1,0,0,0,0,0.0
2025-01-20,google,cpc,CMP-000037,Holiday Promo APAC FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-11,facebook,paid_social,CMP-000046,Enterprise ABM APAC Q4,desktop,0,0,1,0,0,0,0,0.0
2025-01-02,(direct),(none),CMP-000043,lifecycle_winback_na_2025,desktop,1,0,0,0,0,0,0,0.0
2025-01-29,(direct),(none),CMP-000022, Creator Spark EMEA 2024  ,desktop,0,0,0,1,0,0,0,0.0
2025-01-19,tiktok,paid_social,CMP-000010,Holiday Promo APAC 2025,desktop,0,1,0,0,0,0,0,0.0
2025-01-28,tiktok,paid_social,CMP-000050,PRODUCT LAUNCH EMEA 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-29,tiktok,paid_social,CMP-000054,Lifecycle Winback NA 2024,desktop,0,0,0,1,0,0,0,0.0
2025-01-19,(direct),(none),CMP-000040,holiday_promo_na_fy25,desktop,1,0,0,0,0,0,0,0.0
2025-01-31,newsletter,email,,Creator Spark APAC 2025,mobile,0,0,0,1,0,0,0,0.0
2025-01-22,newsletter,email,CMP-000050,Retargeting EMEA 2024,mobile,1,0,0,0,0,0,0,0.0
2025-01-02,(direct),(none),CMP-000061,cart_recovery_apac_fy25,desktop,0,0,0,0,0,1,0,0.0
2025-01-21,facebook,paid_social,CMP-000063, Product Launch APAC 2024  ,desktop,1,0,0,0,0,0,0,0.0
2025-01-23,tiktok,paid_social,CMP-000023,Product Launch Global Q4,mobile,1,0,0,0,0,0,0,0.0
2025-01-27,facebook,paid_social,CMP-000074,Competitor SEM Global 2024,mobile,0,0,0,1,0,0,0,0.0
2025-01-27,google,cpc,CMP-000063, Creator Spark APAC Q4  ,desktop,0,0,0,0,1,0,0,0.0
2025-01-13,facebook,paid_social,, Lifecycle Winback US FY25  ,mobile,0,0,1,0,0,0,0,0.0
2025-01-17,google,cpc,, Competitor Search Global 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-16,google,cpc,CMP-000055,Creator Spark US FY25,mobile,0,0,1,0,0,0,0,0.0
2025-01-19,google,cpc,CMP-000067,Product Launch Global Q4,mobile,0,0,1,0,0,0,0,0.0
2025-01-12,tiktok,paid_social,CMP-000027,CREATOR SPARK NA 2025,desktop,0,1,0,0,0,0,0,0.0
2025-01-30,google,cpc,CMP-000062, Retargeting APAC 2024  ,tablet,0,1,0,0,0,0,0,0.0
2025-01-24,google,cpc,CMP-000017,COMPETITOR SEARCH EMEA 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-14,tiktok,paid_social,CMP-000039,product_launch_us_2024,desktop,0,0,1,0,0,0,0,0.0
2025-01-04,newsletter,email,CMP-000045,REGIONAL EXPANSION GLOBAL FY25,mobile,0,1,0,0,0,0,0,0.0
2025-01-06,google,cpc,,ENTERPRISE ABM GLOBAL 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-12,partner,referral,CMP-000069, Retargeting US 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-22,newsletter,email,CMP-000028,Retargeting APAC 2025,desktop,0,0,1,0,0,0,0,0.0
2025-01-16,google,cpc,CMP-000056,PRODUCT LAUNCH EMEA 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-22,facebook,paid_social,CMP-000019,Holiday Promotion APAC FY25,mobile,1,0,0,0,0,0,0,0.0
2025-01-04,google,cpc,CMP-000028,CREATOR SPARK US 2025,mobile,1,0,0,0,0,0,0,0.0
2025-01-05,google,cpc,CMP-000065,Cart Recovery Global Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-05,tiktok,paid_social,CMP-000019, Competitor Search Global FY25  ,tablet,0,0,0,0,0,0,1,695.63
2025-01-14,(direct),(none),CMP-000063,Holiday Promo NA 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-16,google,cpc,CMP-000011,RETARGETING EMEA 2025,mobile,1,0,0,0,0,0,0,0.0
2025-01-25,tiktok,paid_social,CMP-000082,COMPETITOR SEARCH EMEA 2024,mobile,0,0,1,0,0,0,0,0.0
2025-01-16,facebook,paid_social,CMP-000040,CREATOR SPARK US 2024,mobile,0,0,0,0,0,1,0,0.0
2025-01-13,facebook,paid_social,CMP-000017,CREATOR SPARK US 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-02,facebook,paid_social,CMP-000011,Creator Spark Global 2024,mobile,0,0,1,0,0,0,0,0.0
2025-01-09,tiktok,paid_social,CMP-000073,Competitor Search Global FY25,tablet,1,0,0,0,0,0,0,0.0
2025-01-10,google,cpc,,Regional Expansion US 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-16,google,cpc,CMP-000004,PRODUCT LAUNCH APAC FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-16,facebook,paid_social,CMP-000079,Creator Spark Global 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-25,(direct),(none),CMP-000015,Enterprise ABM EMEA 2025,mobile,0,0,0,0,0,0,1,1218.31
2025-01-14,(direct),(none),CMP-000027,CREATOR SPARK EMEA FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-21,(direct),(none),CMP-000041,Holiday Promo EMEA FY25,mobile,0,0,1,0,0,0,0,0.0
2025-01-11,tiktok,paid_social,CMP-000024, Enterprise ABM US Q4  ,mobile,0,0,0,0,0,0,1,621.77
2025-01-07,facebook,paid_social,CMP-000016,brand_search_na_2024,desktop,1,0,0,0,0,0,0,0.0
2025-01-29,facebook,paid_social,CMP-000029,REGIONAL EXPANSION US FY25,desktop,0,0,0,0,1,0,0,0.0
2025-01-10,tiktok,paid_social,CMP-000005,Retargeting Global Q4,mobile,0,0,0,0,0,0,1,956.97
2025-01-20,newsletter,email,CMP-000035,Holiday Promotion US 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-25,google,cpc,CMP-000027,Enterprise ABM NA Q4,mobile,0,0,0,0,0,0,1,672.27
2025-01-11,google,cpc,CMP-000006,PRODUCT LAUNCH APAC FY25,mobile,0,0,1,0,0,0,0,0.0
2025-01-22,google,cpc,CMP-000068,cart_recovery_na_2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-04,partner,referral,CMP-000032,Retargeting APAC Q4,desktop,0,1,0,0,0,0,0,0.0
2025-01-09,newsletter,email,CMP-000043, Competitor Search US 2024  ,tablet,0,1,0,0,0,0,0,0.0
2025-01-08,google,cpc,CMP-000067,Enterprise ABM EMEA FY25,tablet,0,0,1,0,0,0,0,0.0
2025-01-08,google,cpc,CMP-000077,regional_expansion_us_fy25,desktop,1,0,0,0,0,0,0,0.0
2025-01-19,tiktok,paid_social,CMP-000063,cart_recovery_na_2024,mobile,0,0,1,0,0,0,0,0.0
2025-01-25,google,cpc,CMP-000012,ENTERPRISE ABM GLOBAL 2024,desktop,1,0,0,0,0,0,0,0.0
2025-01-13,google,cpc,CMP-000001,ENTERPRISE ABM EMEA Q4,tablet,0,0,0,0,0,1,0,0.0
2025-01-22,tiktok,paid_social,CMP-000011,CREATOR SPARK NA FY25,mobile,0,0,0,0,0,1,0,0.0
2025-01-17,facebook,paid_social,CMP-000020,Cart Recovery EMEA 2024,desktop,0,0,1,0,0,0,0,0.0
2025-01-30,google,cpc,CMP-000059,Lifecycle Winback APAC FY25,mobile,0,0,0,0,0,1,0,0.0
2025-01-11,facebook,paid_social,,Holiday Promo NA FY25,mobile,0,0,0,0,1,0,0,0.0
2025-01-15,tiktok,paid_social,CMP-000021,product_launch_emea_fy25,mobile,0,0,0,1,0,0,0,0.0
2025-01-04,tiktok,paid_social,CMP-000045,Retargeting Global Q4,desktop,0,0,0,0,0,1,0,0.0
2025-01-23,newsletter,email,CMP-000012,Retargeting US FY25,tablet,0,0,0,0,0,0,1,398.79
2025-01-31,tiktok,paid_social,CMP-000029,Brand SEM Global 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-24,partner,referral,CMP-000043,enterprise_abm_apac_q4,mobile,0,0,0,0,0,1,0,0.0
2025-01-03,facebook,paid_social,CMP-000024,Brand SEM US FY25,desktop,0,0,0,0,0,0,1,1290.31
2025-01-27,facebook,paid_social,CMP-000066, Holiday Promo US FY25  ,mobile,0,0,0,0,1,0,0,0.0
2025-01-01,facebook,paid_social,CMP-000045, Brand Search Global Q4  ,desktop,1,0,0,0,0,0,0,0.0
2025-01-23,tiktok,paid_social,CMP-000066,enterprise_abm_emea_2025,desktop,0,0,0,0,1,0,0,0.0
2025-01-08,newsletter,email,CMP-000049,Retargeting APAC 2024,tablet,0,1,0,0,0,0,0,0.0
2025-01-10,tiktok,paid_social,CMP-000078, Retargeting Global 2024  ,mobile,0,0,0,0,1,0,0,0.0
2025-01-31,(direct),(none),,Product Launch EMEA FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-06,google,cpc,CMP-000015,Holiday Promotion US Q4,desktop,0,1,0,0,0,0,0,0.0
2025-01-25,newsletter,email,,Brand Search Global 2025,desktop,0,0,0,0,0,0,1,374.3
2025-01-10,google,cpc,CMP-000080,ENTERPRISE ABM US 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-12,newsletter,email,CMP-000055, Competitor Search EMEA FY25  ,tablet,0,1,0,0,0,0,0,0.0
2025-01-08,facebook,paid_social,CMP-000052,Competitor Search NA Q4,mobile,0,0,1,0,0,0,0,0.0
2025-01-08,google,cpc,CMP-000037, Brand Search NA 2025  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-10,facebook,paid_social,CMP-000049,Competitor SEM APAC 2025,desktop,0,0,1,0,0,0,0,0.0
2025-01-21,newsletter,email,CMP-000029,cart_recovery_na_2025,desktop,0,0,0,0,1,0,0,0.0
2025-01-31,tiktok,paid_social,CMP-000020,Holiday Promotion NA 2025,mobile,0,0,0,0,0,1,0,0.0
2025-01-11,facebook,paid_social,CMP-000058,Creator Spark APAC 2024,mobile,0,0,1,0,0,0,0,0.0
2025-01-20,newsletter,email,CMP-000006,CART RECOVERY US 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-29,google,cpc,CMP-000081,Holiday Promotion NA 2024,desktop,1,0,0,0,0,0,0,0.0
2025-01-29,google,cpc,CMP-000061, Brand Search NA FY25  ,desktop,1,0,0,0,0,0,0,0.0
2025-01-29,google,cpc,CMP-000023, Enterprise ABM EMEA 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-10,facebook,paid_social,CMP-000054, Enterprise ABM APAC FY25  ,desktop,0,0,0,0,0,0,1,944.65
2025-01-16,google,cpc,,product_launch_na_fy25,desktop,0,0,0,0,1,0,0,0.0
2025-01-05,newsletter,email,, Enterprise ABM APAC Q4  ,tablet,1,0,0,0,0,0,0,0.0
2025-01-04,facebook,paid_social,, Retargeting APAC Q4  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-07,partner,referral,CMP-000082,lifecycle_winback_global_2024,mobile,0,0,1,0,0,0,0,0.0
2025-01-13,newsletter,email,CMP-000068,BRAND SEARCH EMEA FY25,desktop,1,0,0,0,0,0,0,0.0
2025-01-06,facebook,paid_social,CMP-000010,creator_spark_us_2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-02,google,cpc,CMP-000022, Competitor Search EMEA FY25  ,tablet,0,0,0,0,0,1,0,0.0
2025-01-19,google,cpc,CMP-000053, Creator Spark Global Q4  ,desktop,1,0,0,0,0,0,0,0.0
2025-01-17,facebook,paid_social,CMP-000056,regional_expansion_emea_fy25,mobile,0,0,0,0,0,0,1,613.33
2025-01-24,facebook,paid_social,CMP-000077,RETARGETING EMEA 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-18,google,cpc,CMP-000050,BRAND SEARCH US FY25,mobile,1,0,0,0,0,0,0,0.0
2025-01-31,newsletter,email,CMP-000039,Enterprise ABM NA 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-22,facebook,paid_social,CMP-000019,Cart Recovery Global 2024,mobile,0,0,0,0,0,1,0,0.0
2025-01-13,google,cpc,CMP-000010,Holiday Promotion Global 2025,mobile,0,0,1,0,0,0,0,0.0
2025-01-22,newsletter,email,,Brand Search US Q4,desktop,0,1,0,0,0,0,0,0.0
2025-01-07,newsletter,email,CMP-000065,Retargeting NA 2025,desktop,1,0,0,0,0,0,0,0.0
2025-01-27,google,cpc,CMP-000048,lifecycle_winback_emea_2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-16,facebook,paid_social,CMP-000016, Brand Search NA FY25  ,desktop,0,1,0,0,0,0,0,0.0
2025-01-05,newsletter,email,,Retargeting US FY25,desktop,1,0,0,0,0,0,0,0.0
2025-01-21,newsletter,email,CMP-000014, Lifecycle Winback Global Q4  ,mobile,1,0,0,0,0,0,0,0.0
2025-01-02,google,cpc,CMP-000064,Enterprise ABM APAC Q4,desktop,0,0,1,0,0,0,0,0.0
2025-01-08,newsletter,email,CMP-000024,Regional Expansion Global Q4,desktop,0,1,0,0,0,0,0,0.0
2025-01-19,facebook,paid_social,CMP-000046, Competitor Search NA 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-03,google,cpc,, Holiday Promo NA Q4  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-11,newsletter,email,CMP-000005,Brand Search NA Q4,mobile,1,0,0,0,0,0,0,0.0
2025-01-24,facebook,paid_social,CMP-000037,Brand Search US 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-26,facebook,paid_social,CMP-000033, Cart Recovery Global 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-24,google,cpc,CMP-000017,Brand SEM EMEA Q4,mobile,1,0,0,0,0,0,0,0.0
2025-01-17,facebook,paid_social,CMP-000048,retargeting_global_2025,desktop,0,1,0,0,0,0,0,0.0
2025-01-19,google,cpc,CMP-000078,product_launch_emea_fy25,mobile,0,0,1,0,0,0,0,0.0
2025-01-26,google,cpc,CMP-000054, Brand Search EMEA FY25  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-29,facebook,paid_social,CMP-000071,Holiday Promotion US Q4,desktop,0,1,0,0,0,0,0,0.0
2025-01-22,google,cpc,CMP-000024, Creator Spark APAC 2024  ,desktop,0,0,0,0,1,0,0,0.0
2025-01-26,google,cpc,CMP-000061,Lifecycle Winback Global 2025,mobile,1,0,0,0,0,0,0,0.0
2025-01-06,facebook,paid_social,,Competitor SEM US 2024,tablet,0,1,0,0,0,0,0,0.0
2025-01-14,(direct),(none),CMP-000052, Product Launch APAC Q4  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-18,newsletter,email,CMP-000073, Competitor Search Global Q4  ,mobile,0,0,0,0,0,1,0,0.0
2025-01-09,tiktok,paid_social,CMP-000009,REGIONAL EXPANSION NA 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-10,tiktok,paid_social,,Regional Expansion EMEA FY25,mobile,0,0,0,1,0,0,0,0.0
2025-01-20,tiktok,paid_social,,COMPETITOR SEARCH US 2025,mobile,0,0,0,1,0,0,0,0.0
2025-01-06,google,cpc,CMP-000037,Retargeting US FY25,desktop,1,0,0,0,0,0,0,0.0
2025-01-19,google,cpc,CMP-000019,Creator Spark Global 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-22,tiktok,paid_social,CMP-000030,Cart Recovery US 2024,desktop,0,0,1,0,0,0,0,0.0
2025-01-19,tiktok,paid_social,CMP-000021, Holiday Promo APAC 2025  ,mobile,1,0,0,0,0,0,0,0.0
2025-01-17,partner,referral,CMP-000003, Product Launch Global FY25  ,desktop,0,0,0,0,1,0,0,0.0
2025-01-29,partner,referral,CMP-000017,product_launch_na_q4,mobile,0,0,1,0,0,0,0,0.0
2025-01-22,google,cpc,CMP-000064, Brand Search Global 2025  ,desktop,0,0,1,0,0,0,0,0.0
2025-01-19,google,cpc,CMP-000078,Cart Recovery APAC Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-11,tiktok,paid_social,,Product Launch EMEA 2025,mobile,0,0,0,0,0,1,0,0.0
2025-01-18,partner,referral,CMP-000065,retargeting_us_2025,mobile,0,0,1,0,0,0,0,0.0
2025-01-23,google,cpc,CMP-000032,Creator Spark NA Q4,tablet,0,0,0,0,1,0,0,0.0
2025-01-20,newsletter,email,,retargeting_apac_2025,desktop,0,0,1,0,0,0,0,0.0
2025-01-10,google,cpc,CMP-000057, Cart Recovery Global Q4  ,desktop,0,0,0,0,0,1,0,0.0
2025-01-14,tiktok,paid_social,CMP-000073,CREATOR SPARK APAC Q4,tablet,0,0,0,0,0,1,0,0.0
2025-01-01,newsletter,email,CMP-000041,CART RECOVERY EMEA Q4,mobile,1,0,0,0,0,0,0,0.0
2025-01-14,facebook,paid_social,CMP-000074,REGIONAL EXPANSION NA FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-15,google,cpc,CMP-000053,Retargeting APAC 2025,mobile,1,0,0,0,0,0,0,0.0
2025-01-01,tiktok,paid_social,CMP-000016,Product Launch NA FY25,mobile,0,1,0,0,0,0,0,0.0
2025-01-15,newsletter,email,CMP-000023, Lifecycle Winback Global FY25  ,mobile,0,0,0,1,0,0,0,0.0
2025-01-07,(direct),(none),CMP-000024,HOLIDAY PROMO NA Q4,desktop,0,0,0,0,0,0,1,1884.64
2025-01-22,google,cpc,CMP-000055,Lifecycle Winback Global FY25,mobile,0,0,1,0,0,0,0,0.0
2025-01-10,(direct),(none),,Enterprise ABM NA FY25,desktop,0,1,0,0,0,0,0,0.0
2025-01-11,facebook,paid_social,CMP-000006,LIFECYCLE WINBACK US 2024,desktop,0,0,0,1,0,0,0,0.0
2025-01-22,google,cpc,CMP-000050, Creator Spark APAC 2025  ,mobile,1,0,0,0,0,0,0,0.0
2025-01-25,tiktok,paid_social,CMP-000004,REGIONAL EXPANSION GLOBAL 2025,desktop,0,1,0,0,0,0,0,0.0
2025-01-26,google,cpc,CMP-000033,LIFECYCLE WINBACK US 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-25,google,cpc,CMP-000006,CREATOR SPARK APAC FY25,mobile,0,1,0,0,0,0,0,0.0
2025-01-22,facebook,paid_social,CMP-000072,Regional Expansion APAC 2025,mobile,0,0,0,0,1,0,0,0.0
2025-01-12,google,cpc,CMP-000075,BRAND SEARCH EMEA 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-09,tiktok,paid_social,CMP-000015,Lifecycle Winback Global 2025,desktop,0,0,1,0,0,0,0,0.0
2025-01-20,google,cpc,CMP-000018,Enterprise ABM EMEA Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-04,(direct),(none),CMP-000081,PRODUCT LAUNCH APAC 2025,tablet,0,0,1,0,0,0,0,0.0
2025-01-16,tiktok,paid_social,CMP-000003,LIFECYCLE WINBACK NA 2025,desktop,0,0,1,0,0,0,0,0.0
2025-01-06,facebook,paid_social,,retargeting_us_q4,tablet,0,0,0,0,0,0,1,851.84
2025-01-15,google,cpc,CMP-000044, Brand Search US FY25  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-20,google,cpc,,LIFECYCLE WINBACK US Q4,desktop,1,0,0,0,0,0,0,0.0
2025-01-23,google,cpc,CMP-000052, Enterprise ABM Global 2024  ,mobile,0,0,0,0,1,0,0,0.0
2025-01-16,google,cpc,CMP-000076,enterprise_abm_na_fy25,desktop,0,0,0,1,0,0,0,0.0
2025-01-17,facebook,paid_social,CMP-000024, Creator Spark Global FY25  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-04,google,cpc,, Lifecycle Winback EMEA FY25  ,mobile,0,0,1,0,0,0,0,0.0
2025-01-10,facebook,paid_social,CMP-000030, Enterprise ABM APAC 2025  ,desktop,0,1,0,0,0,0,0,0.0
2025-01-02,newsletter,email,,Brand Search NA FY25,desktop,1,0,0,0,0,0,0,0.0
2025-01-16,facebook,paid_social,CMP-000059,Holiday Promotion NA FY25,mobile,1,0,0,0,0,0,0,0.0
2025-01-29,tiktok,paid_social,CMP-000067,Brand Search Global 2025,desktop,0,1,0,0,0,0,0,0.0
2025-01-27,tiktok,paid_social,CMP-000024,Holiday Promotion NA 2024,desktop,0,0,0,0,0,1,0,0.0
2025-01-05,google,cpc,CMP-000032, Holiday Promo APAC 2024  ,desktop,0,0,0,0,0,1,0,0.0
2025-01-08,tiktok,paid_social,CMP-000044,Lifecycle Winback US Q4,desktop,0,0,0,1,0,0,0,0.0
2025-01-25,tiktok,paid_social,CMP-000045, Holiday Promo NA Q4  ,desktop,0,1,0,0,0,0,0,0.0
2025-01-26,google,cpc,CMP-000017,regional_expansion_emea_2025,mobile,1,0,0,0,0,0,0,0.0
2025-01-06,tiktok,paid_social,CMP-000063,Enterprise ABM US Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-13,tiktok,paid_social,,creator_spark_emea_fy25,mobile,0,0,1,0,0,0,0,0.0
2025-01-01,newsletter,email,CMP-000078,HOLIDAY PROMO EMEA Q4,mobile,0,0,0,1,0,0,0,0.0
2025-01-16,(direct),(none),CMP-000034,Retargeting APAC 2025,tablet,0,1,0,0,0,0,0,0.0
2025-01-25,(direct),(none),,Product Launch Global Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-04,newsletter,email,CMP-000077, Competitor Search Global 2025  ,mobile,1,0,0,0,0,0,0,0.0
2025-01-29,(direct),(none),CMP-000082,product_launch_global_fy25,mobile,0,0,0,0,1,0,0,0.0
2025-01-23,google,cpc,CMP-000076,Creator Spark APAC 2025,desktop,0,1,0,0,0,0,0,0.0
2025-01-13,facebook,paid_social,CMP-000047,Brand SEM NA FY25,mobile,0,1,0,0,0,0,0,0.0
2025-01-30,newsletter,email,CMP-000008, Product Launch Global FY25  ,desktop,0,1,0,0,0,0,0,0.0
2025-01-02,facebook,paid_social,CMP-000004,holiday_promo_apac_fy25,tablet,1,0,0,0,0,0,0,0.0
2025-01-11,tiktok,paid_social,CMP-000083, Retargeting APAC FY25  ,mobile,0,0,0,1,0,0,0,0.0
2025-01-04,tiktok,paid_social,CMP-000044,Competitor SEM APAC 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-26,(direct),(none),,Lifecycle Winback Global 2024,desktop,0,0,0,0,0,0,1,955.57
2025-01-16,(direct),(none),CMP-000015, Holiday Promo EMEA 2024  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-20,google,cpc,CMP-000005,REGIONAL EXPANSION GLOBAL Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-14,google,cpc,CMP-000065,Lifecycle Winback Global Q4,mobile,1,0,0,0,0,0,0,0.0
2025-01-08,tiktok,paid_social,CMP-000058, Product Launch Global 2025  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-28,google,cpc,,Retargeting EMEA FY25,mobile,1,0,0,0,0,0,0,0.0
2025-01-17,facebook,paid_social,CMP-000002,regional_expansion_apac_q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-26,(direct),(none),, Lifecycle Winback Global Q4  ,mobile,0,1,0,0,0,0,0,0.0
2025-01-27,(direct),(none),,Cart Recovery APAC 2025,mobile,0,0,0,0,0,0,1,601.56
2025-01-22,google,cpc,CMP-000075,LIFECYCLE WINBACK EMEA 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-26,(direct),(none),CMP-000078,Competitor SEM NA 2025,mobile,0,0,0,0,1,0,0,0.0
2025-01-05,google,cpc,CMP-000021, Retargeting EMEA FY25  ,mobile,0,0,0,0,0,1,0,0.0
2025-01-28,newsletter,email,CMP-000010,REGIONAL EXPANSION EMEA 2025,desktop,1,0,0,0,0,0,0,0.0
2025-01-18,tiktok,paid_social,,creator_spark_global_q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-07,facebook,paid_social,CMP-000074,Lifecycle Winback US FY25,desktop,1,0,0,0,0,0,0,0.0
2025-01-01,google,cpc,CMP-000047,BRAND SEARCH NA FY25,desktop,0,0,0,0,0,0,1,594.16
2025-01-29,facebook,paid_social,CMP-000056,RETARGETING NA 2024,mobile,0,0,0,0,0,1,0,0.0
2025-01-09,tiktok,paid_social,CMP-000069,Lifecycle Winback NA FY25,mobile,0,1,0,0,0,0,0,0.0
2025-01-18,google,cpc,CMP-000007,LIFECYCLE WINBACK US 2024,desktop,1,0,0,0,0,0,0,0.0
2025-01-05,google,cpc,CMP-000047,LIFECYCLE WINBACK GLOBAL FY25,desktop,0,0,0,0,0,0,1,763.01
2025-01-30,(direct),(none),CMP-000030, Retargeting EMEA FY25  ,tablet,0,1,0,0,0,0,0,0.0
2025-01-22,google,cpc,CMP-000029,Regional Expansion APAC Q4,desktop,0,0,1,0,0,0,0,0.0
2025-01-11,partner,referral,CMP-000007,REGIONAL EXPANSION GLOBAL 2025,mobile,0,0,1,0,0,0,0,0.0
2025-01-06,google,cpc,CMP-000021,Holiday Promotion NA 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-13,tiktok,paid_social,CMP-000056,Retargeting EMEA Q4,desktop,1,0,0,0,0,0,0,0.0
